waypoints_lat_deg	waypoints_lon_deg	waypoints_alt_ft	waypoints_time_unix
37.09776	-76.38631	-1.9682394	1544188336
37.09776	-76.38629	164.01995	1544188358
37.09776	-76.38629	164.01995	1544188360
37.09798	-76.38589	164.01995	1544188377
37.09748	-76.3848	164.01995	1544188394
37.09665	-76.38569	164.01995	1544188411
37.09703	-76.38658	164.01995	1544188428
37.09719	-76.38628	164.01995	1544188496
37.09719	-76.38628	0.0		1544188539
37.09719	-76.38628	0.0		1544188584
37.09719	-76.38628	164.01995	1544188601
37.09748	-76.3848	164.01995	1544188635
37.09798	-76.38589	164.01995	1544188652
37.09776	-76.38629	164.01995	1544188672
37.09776	-76.38629	0.0		1544188692
			
			
			
			
			
			
			
			
			
